Protein,Cluster_ID,Cluster_Size
ENTPD1,3,135
ENTPD8,3,135
APRT,3,135
PDE4A,3,135
AK6,3,135
AK3,3,135
NT5M,3,135
PDE8A,3,135
AK4,3,135
PDE1C,3,135
AMPD3,3,135
PAICS,3,135
PDE7A,3,135
NT5C3B,3,135
ENPP3,3,135
AK9,3,135
PDE1A,3,135
AMPD1,3,135
NT5C1B-RDH14,3,135
ADK,3,135
NT5C3A,3,135
AMPD2,3,135
AK2,3,135
ENPP1,3,135
MOCS1,3,135
NNMT,3,135
UPP2,3,135
UPP1,3,135
NPR1,3,135
NADSYN1,3,135
RETNLB,3,135
PDE5A,3,135
GUK1,3,135
ADCY4,3,135
ADCY7,3,135
ADCY6,3,135
NAMPT,3,135
SIRT6,3,135
RETN,3,135
ITLN1,3,135
SIRT3,3,135
SIRT5,3,135
QPRT,3,135
SIRT2,3,135
NME1,3,135
DGUOK,3,135
TK2,3,135
UPRT,3,135
GUCY1A2,3,135
GUCY1A1,3,135
GUCY1B1,3,135
CMPK1,3,135
CTPS1,3,135
SIRT4,3,135
BST1,3,135
SIRT7,3,135
NMRK2,3,135
NAPRT,3,135
NMNAT1,3,135
ADA2,3,135
NMRK1,3,135
ADIPOR2,3,135
ADIPOR1,3,135
SERPINA12,3,135
RARRES2,3,135
PDE6C,3,135
NUDT2,3,135
PDE9A,3,135
ITPA,3,135
RRM2,3,135
RRM2B,3,135
DUT,3,135
HDAC11,3,135
HDDC3,3,135
NMNAT2,3,135
NMNAT3,3,135
NME3,3,135
ENTPD2,3,135
NTPCR,3,135
NME2,3,135
NME1-NME2,3,135
CMPK2,3,135
NME4,3,135
NNT,3,135
CANT1,3,135
ENTPD5,3,135
NPR2,3,135
UCKL1,3,135
ENTPD4,3,135
UCK2,3,135
UCK1,3,135
ENTPD6,3,135
NADK2,3,135
CTPS2,3,135
NME6,3,135
ADCY10,3,135
DTYMK,3,135
DCTD,3,135
CMKLR1,3,135
NUDT16,3,135
DCTPP1,3,135
MPPED1,3,135
NDUFAF7,4,127
NDUFAF3,4,127
NDUFAF6,4,127
NDUFA7,4,127
TIMMDC1,4,127
NDUFA10,4,127
NDUFAF4,4,127
NDUFS7,4,127
NDUFAF1,4,127
TMEM126B,4,127
NDUFAF5,4,127
NDUFAF2,4,127
NDUFB5,4,127
NDUFA13,4,127
ACAD9,4,127
ECSIT,4,127
TMEM186,4,127
NDUFA5,4,127
NDUFB4,4,127
NDUFB7,4,127
NDUFA2,4,127
FOXRED1,4,127
NDUFA9,4,127
NDUFB10,4,127
NDUFS6,4,127
NDUFB11,4,127
NDUFB9,4,127
NDUFC2,4,127
NDUFS4,4,127
NDUFB8,4,127
NDUFB2,4,127
NDUFV3,4,127
NDUFA12,4,127
NDUFA8,4,127
NDUFS5,4,127
NDUFA6,4,127
NDUFB6,4,127
MT-ND5,4,127
NDUFC1,4,127
NDUFB3,4,127
NDUFA1,4,127
NDUFA11,4,127
NDUFV2,4,127
NDUFS1,4,127
MT-ND1,4,127
MT-ND4L,4,127
NDUFV1,4,127
NDUFA3,4,127
MT-ND6,4,127
MT-ND2,4,127
MT-ND3,4,127
MT-ND4,4,127
BCS1L,4,127
UQCRC1,4,127
ATP5F1E,4,127
COX5B,4,127
UQCRC2,4,127
COX6A2,4,127
ATP5MF,4,127
COX7A1,4,127
ATP5MG,4,127
K7EMT4_HUMAN,4,127
COX6C,4,127
ATP5PD,4,127
NDUFB1,4,127
COX7C,4,127
MT-CO3,4,127
COX6B1,4,127
ENSP00000497305,4,127
UQCR11,4,127
UQCR10,4,127
ATP5PF,4,127
UQCRH,4,127
E7ENQ6_HUMAN,4,127
NDUFA4,4,127
UQCRQ,4,127
MT-CO1,4,127
COX7B,4,127
ATP5ME,4,127
MT-CYB,4,127
COX5A,4,127
NDUFA4L2,4,127
NDUFC2-KCTD14,4,127
UQCRB,4,127
ATP5MGL,4,127
DNAJC30,4,127
COX7A2L,4,127
PMPCB,4,127
COX4I2,4,127
MT-CO2,4,127
COX6A1,4,127
ATP5PB,4,127
SLC25A25,4,127
BLVRB,4,127
COX10,4,127
SLC25A24,4,127
SLC25A41,4,127
MT-ATP6,4,127
COX7A2,4,127
PWWP3B,4,127
ATP5MD,4,127
PWWP3A,4,127
UQCRHL,4,127
C1orf198,4,127
TMEM254,4,127
HTATIP2,4,127
NMRAL1,4,127
TRIM59,4,127
TRIR,4,127
PMPCA,4,127
H7C0C1_HUMAN,4,127
COX6B2,4,127
COX8C,4,127
OR10W1,4,127
COX8A,4,127
ENSP00000370980,4,127
HIGD1A,4,127
GATC,4,127
COX7B2,4,127
ATP5IF1,4,127
THYN1,4,127
MT-ATP8,4,127
R3HDM4,4,127
C17orf80,4,127
ATP5MPL,4,127
WBP2NL,4,127
DMAC2L,4,127
CDK7,5,118
TAF4B,5,118
MED15,5,118
USP22,5,118
ATXN7,5,118
ATXN7-2,5,118
MED17,5,118
TAF9,5,118
MED31,5,118
MED28,5,118
GTF2A1,5,118
TAF3,5,118
MED30,5,118
MED12,5,118
TAF7,5,118
GTF2E1,5,118
MED25,5,118
MED19,5,118
THRAP3,5,118
MED8,5,118
MED9,5,118
MED4,5,118
CCNH,5,118
GTF2H3,5,118
GTF2H5,5,118
TAF6,5,118
TAF8,5,118
MED23,5,118
MED21,5,118
CDK19,5,118
MED13,5,118
MED13L,5,118
GTF2E2,5,118
GTF2F2,5,118
MED6,5,118
MED11,5,118
MED24,5,118
MED14,5,118
GTF2H4,5,118
TAF2,5,118
MED10,5,118
SUPT7L,5,118
MED12L,5,118
TAF10,5,118
TAF12,5,118
TAF5,5,118
GTF2H2,5,118
MNAT1,5,118
GTF2A2,5,118
TAF4,5,118
SUPT3H,5,118
GTF2B,5,118
MED20,5,118
CCNC,5,118
TAF11,5,118
GTF2H1,5,118
MED22,5,118
MED27,5,118
MED16,5,118
CDK8,5,118
MED18,5,118
TAF13,5,118
MED26,5,118
MED7,5,118
MED29,5,118
GTF2F1,5,118
TADA2B,5,118
SGF29,5,118
ZZZ3,5,118
GTF2H2C,5,118
TAF9B,5,118
TBPL2,5,118
FBXW12,5,118
CDK20,5,118
ENSP00000492220,5,118
POLE3,5,118
POLE4,5,118
ENY2,5,118
SUPT20H,5,118
TADA2A,5,118
TAF5L,5,118
TAF6L,5,118
YEATS2,5,118
TADA3,5,118
DRAP1,5,118
TADA1,5,118
DR1,5,118
ATXN7L3,5,118
KAT14,5,118
MBIP,5,118
TBPL1,5,118
TAF11L14,5,118
TAF7L,5,118
TAF11L3,5,118
TAF11L11,5,118
TAF11L7,5,118
TAF11L6,5,118
TAF11L13,5,118
TAF11L2,5,118
TAF11L10,5,118
TAF11L8,5,118
TAF1L,5,118
TAF11L9,5,118
LINC02218,5,118
TAF11L4,5,118
TAF11L5,5,118
TAF11L12,5,118
BTAF1,5,118
TMEM179B,5,118
USP51,5,118
USP27X,5,118
ATXN7L1,5,118
ATXN7L2,5,118
GTF2A1L,5,118
STON1,5,118
STON1-GTF2A1L,5,118
SAC3D1,5,118
ATXN7L3B,5,118
HTR7,6,117
SUCLG2,6,117
RAPGEF4,6,117
RAPGEF3,6,117
GNB4,6,117
PREX1,6,117
RGSL1,6,117
GRM3,6,117
GNGT1,6,117
HTR2A,6,117
GNGT2,6,117
KCNJ5,6,117
GNAI2,6,117
HTR5A,6,117
HTR1E,6,117
HTR1A,6,117
HTR1F,6,117
HTR1B,6,117
HTR1D,6,117
GNG3,6,117
GNG10,6,117
GNG4,6,117
DRD4,6,117
GNAT2,6,117
GNAI3,6,117
ARHGEF11,6,117
GPR17,6,117
GNA11,6,117
GNAI1,6,117
CHRM5,6,117
GNG12,6,117
ADRA1D,6,117
GNA12,6,117
ADRA2A,6,117
ADRA1B,6,117
S1PR4,6,117
RGS13,6,117
ADRA1A,6,117
TBXA2R,6,117
RGS3,6,117
CHRM1,6,117
CHRM3,6,117
ADRA2C,6,117
GNG5,6,117
GNG11,6,117
GNG8,6,117
ARHGEF12,6,117
RGS19,6,117
GNA15,6,117
ADRA2B,6,117
GNA14,6,117
RGS17,6,117
RASD1,6,117
ADORA3,6,117
PTGER2,6,117
MMP24,6,117
SSTR4,6,117
MTNR1B,6,117
RGS9,6,117
GNAO1,6,117
PTGER1,6,117
SSTR5,6,117
KCNJ3,6,117
RGS20,6,117
MTNR1A,6,117
PTGER4,6,117
S1PR1,6,117
RIC8A,6,117
S1PR5,6,117
MRGPRX2,6,117
MMP25,6,117
RGS12,6,117
PTGER3,6,117
SSTR2,6,117
MMP17,6,117
RGS7,6,117
ADORA1,6,117
RGS18,6,117
RGS16,6,117
KCNJ9,6,117
RGS10,6,117
LPAR1,6,117
S1PR3,6,117
GPR183,6,117
CORT,6,117
DRD3,6,117
CENPS-CORT,6,117
RGS4,6,117
CHRM2,6,117
CHRM4,6,117
RGS5,6,117
APLNR,6,117
KCNJ6,6,117
GNA13,6,117
TIMP2,6,117
ARHGEF1,6,117
APLN,6,117
GNAZ,6,117
RGS6,6,117
LPAR3,6,117
GNG14,6,117
LPAR4,6,117
LPAR2,6,117
RGS11,6,117
LPAR5,6,117
LPAR6,6,117
RGS21,6,117
RGS7BP,6,117
MCF2,6,117
ZNF277,6,117
RGS9BP,6,117
RGS8,6,117
PCP2,6,117
ENPP2,6,117
GPR50,6,117
FAT3,6,117
APELA,6,117
GCC1,7,112
DCAF13,7,112
NVL,7,112
GNL3L,7,112
RRP7A,7,112
PNO1,7,112
NOB1,7,112
RIOK2,7,112
TSR1,7,112
LTV1,7,112
RRP12,7,112
FAM207A,7,112
TWISTNB,7,112
GRWD1,7,112
IMP4,7,112
PAK1IP1,7,112
UTP11,7,112
TSR2,7,112
SURF6,7,112
RRP1,7,112
EBNA1BP2,7,112
UTP4,7,112
WDR46,7,112
PWP2,7,112
EMG1,7,112
DIMT1,7,112
ESF1,7,112
RBM28,7,112
UTP18,7,112
RRP9,7,112
CEBPZ,7,112
MPHOSPH10,7,112
UTP3,7,112
RTCA,7,112
UTP20,7,112
UTP6,7,112
LSG1,7,112
NOP9,7,112
WDR17,7,112
UTP15,7,112
PINX1,7,112
NOC3L,7,112
RCL1,7,112
DDX24,7,112
WDR74,7,112
TBL3,7,112
NMD3,7,112
SRFBP1,7,112
RPF1,7,112
NOL10,7,112
NSUN6,7,112
WDR43,7,112
LYAR,7,112
DDX31,7,112
LOC102724159,7,112
RBM19,7,112
DDX10,7,112
UTP25,7,112
AATF,7,112
WDR3,7,112
PWP1,7,112
NOP2,7,112
RRP1B,7,112
FCF1,7,112
NOP14,7,112
PUM3,7,112
DDX52,7,112
DDX27,7,112
WDR75,7,112
DDX54,7,112
HEATR1,7,112
UTP14A,7,112
NOC4L,7,112
SDAD1,7,112
MCC,7,112
MAK16,7,112
NGDN,7,112
DDX47,7,112
NLE1,7,112
KCTD19,7,112
UTP14C,7,112
DDX49,7,112
NOL11,7,112
RRP8,7,112
ABT1,7,112
UTP23,7,112
DHX37,7,112
RPS19BP1,7,112
C1orf131,7,112
NOL7,7,112
DNTTIP2,7,112
FBLL1,7,112
WDR18,7,112
HEATR3,7,112
RRP15,7,112
NOLC1,7,112
MYBBP1A,7,112
NOP53,7,112
KRI1,7,112
DQX1,7,112
RRP36,7,112
MDN1,7,112
RBM34,7,112
NOM1,7,112
DDX55,7,112
PPAN,7,112
CMSS1,7,112
NOL12,7,112
GPATCH2,7,112
GPATCH4,7,112
LRRC37B,7,112
CRLF3,7,112
ARID1A,8,92
SMARCC1,8,92
JADE1,8,92
SMARCA2,8,92
TRRAP,8,92
YEATS4,8,92
INO80B,8,92
ACTR5,8,92
KAT6A,8,92
KAT6B,8,92
SMARCE1,8,92
ARID2,8,92
SMARCB1,8,92
PHF10,8,92
BRPF1,8,92
BRD7,8,92
SMARCD1,8,92
ING4,8,92
PBRM1,8,92
ACTL6A,8,92
SMARCC2,8,92
INO80,8,92
KAT7,8,92
ACTL6B,8,92
DPF2,8,92
SMARCD3,8,92
BICRAL,8,92
SS18L1,8,92
BCL7A,8,92
BCL11A,8,92
BCL7B,8,92
BCL7C,8,92
DPF1,8,92
BICRA,8,92
BCL11B,8,92
SS18,8,92
BRD9,8,92
DPF3,8,92
ARID1B,8,92
SMARCD2,8,92
JADE2,8,92
KAT8,8,92
KANSL1,8,92
BRD8,8,92
EPC2,8,92
EPC1,8,92
MSL1,8,92
MRGBP,8,92
MORF4L1,8,92
DMAP1,8,92
MORF4L2,8,92
PHF20,8,92
MCRS1,8,92
VPS72,8,92
MBTD1,8,92
MSL2,8,92
EP400,8,92
KANSL3,8,92
ING3,8,92
MSL3,8,92
KANSL2,8,92
MEAF6,8,92
INO80C,8,92
ACTR6,8,92
MYCL,8,92
SRCAP,8,92
ZNHIT1,8,92
ACTR8,8,92
KANSL1L,8,92
FOXR1,8,92
BRPF3,8,92
PLAC1,8,92
JADE3,8,92
FOXR2,8,92
ING5,8,92
BRD1,8,92
CFDP1,8,92
TFPT,8,92
ANP32E,8,92
NFRKB,8,92
INO80E,8,92
INO80D,8,92
NFATC2IP,8,92
INO80C-2,8,92
MRFAP1,8,92
USP3,8,92
MRFAP1L1,8,92
LRRC37A,8,92
ARL17A,8,92
LRRC37A3,8,92
ARL17B,8,92
LRRC37A2,8,92
MRPS22,9,83
MCAT,9,83
MRPS35,9,83
MRPL34,9,83
MRPL44,9,83
MRPL49,9,83
MRPL46,9,83
MRPL40,9,83
DAP3,9,83
MRPL41,9,83
MRPL23,9,83
PEBP4,9,83
PEBP1,9,83
TFB1M,9,83
DDX28,9,83
MRPS25,9,83
TP53I13,9,83
MRPL54,9,83
MRPL30,9,83
LOC107987373,9,83
OXA1L,9,83
PTCD3,9,83
MRPS21,9,83
MTG1,9,83
GTPBP10,9,83
NOA1,9,83
MRM3,9,83
MTG2,9,83
MALSU1,9,83
ERAL1,9,83
MRPL9,9,83
MRPL18,9,83
MRPS36,9,83
MRPS18A,9,83
MRPL39,9,83
MRPS33,9,83
MRPS31,9,83
MRPS28,9,83
MRPS23,9,83
MRPL51,9,83
MTIF3,9,83
MRPL50,9,83
MRPS24,9,83
MRPL35,9,83
MRPS30,9,83
hCG_1984214,9,83
GADD45GIP1,9,83
MRPL14,9,83
RBFA,9,83
MRPS27,9,83
MRPL55,9,83
MRPL57,9,83
MRPL53,9,83
METTL15,9,83
MRPL37,9,83
REELD1,9,83
MRPL45,9,83
MRPS26,9,83
MRPL38,9,83
MRPL10,9,83
METTL17,9,83
MRPS17,9,83
AURKAIP1,9,83
MRPL28,9,83
MRPS18C,9,83
ENSP00000387111,9,83
CHCHD1,9,83
MRPS34,9,83
MRPL52,9,83
MRPS18B,9,83
MRPL42,9,83
MRPL48,9,83
MRM2,9,83
GTPBP6,9,83
MTRES1,9,83
C12orf65,9,83
MTERF4,9,83
GFM2,9,83
NSUN4,9,83
MIEF1-2,9,83
TRMT10B,9,83
YBEY,9,83
ACSF2,9,83
LIF,10,81
IL3RA,10,81
IL4R,10,81
EBI3,10,81
IL23A,10,81
IL12RB2,10,81
IFNAR1,10,81
IL12A,10,81
IL23R,10,81
IL21R,10,81
IL21,10,81
IL12RB1,10,81
TYK2,10,81
JAK3,10,81
IL24,10,81
IFNA2,10,81
IL9,10,81
IL3,10,81
CNTF,10,81
CRLF2,10,81
TSLP,10,81
IL22,10,81
IL16,10,81
IL2RB,10,81
IL5RA,10,81
IL10RA,10,81
IL10RB,10,81
IFNLR1,10,81
IFNL1,10,81
IFNL2,10,81
IFNAR2,10,81
IFNGR1,10,81
IL6R,10,81
MPL,10,81
CSF3R,10,81
IL2RG,10,81
IL2RA,10,81
IFNL3,10,81
IFNA5,10,81
IFNA4,10,81
IL6ST,10,81
IL31RA,10,81
EPOR,10,81
IFNGR2,10,81
IL27,10,81
CSF2RB,10,81
IL15RA,10,81
LIFR,10,81
IL12B,10,81
CTF1,10,81
IL11,10,81
IL13RA1,10,81
IL27RA,10,81
OSM,10,81
CNTFR,10,81
IL26,10,81
IFNA7,10,81
IL19,10,81
IFNA16,10,81
IFNA8,10,81
IFNA14,10,81
IFNA10,10,81
IFNA21,10,81
IFNA6,10,81
IFNA17,10,81
IFNA13,10,81
IL22RA1,10,81
OSMR,10,81
IL22RA2,10,81
IL20RA,10,81
IL20RB,10,81
IL13RA2,10,81
IL31,10,81
CRLF1,10,81
IFNK,10,81
IFNW1,10,81
CHI3L1,10,81
IFNE,10,81
CLCF1,10,81
IL20,10,81
TMEM219,10,81
ACTA2,11,81
ACTC1,11,81
ACTG2,11,81
MYOT,11,81
LDB3,11,81
MYH14,11,81
MYH9,11,81
MYOZ3,11,81
MYOZ2,11,81
TCAP,11,81
TTN,11,81
TPM2,11,81
MYOZ1,11,81
CAPN3,11,81
ACTN2,11,81
NEB,11,81
MYLPF,11,81
MYL2,11,81
MYBPC3,11,81
CSRP3,11,81
TNNT2,11,81
TPM1,11,81
MYLK2,11,81
MYL3,11,81
MYH6,11,81
MYH7,11,81
MYLK,11,81
SMIM20,11,81
MYH3,11,81
ANKRD1,11,81
TRIM55,11,81
TRIM63,11,81
MYH8,11,81
CMYA5,11,81
MYL6,11,81
MYL12B,11,81
ACTN3,11,81
MYL6B,11,81
TAGLN,11,81
RBM20,11,81
MYL9,11,81
MYL1,11,81
MYL4,11,81
MYL12A,11,81
NRAP,11,81
MYH2,11,81
TNNT3,11,81
CALD1,11,81
MYL7,11,81
TNNC1,11,81
TNNT1,11,81
TNNI2,11,81
TPM4,11,81
TNNC2,11,81
MYH1,11,81
MYBPC2,11,81
MYPN,11,81
TNNI1,11,81
MYL10,11,81
MYH10,11,81
MYH13,11,81
MYH11,11,81
MYL5,11,81
MYH4,11,81
NEBL,11,81
LMOD2,11,81
LMOD1,11,81
LMOD3,11,81
MYLK3,11,81
MYLK4,11,81
MYH7B,11,81
CNN1,11,81
MLC1,11,81
MYH15,11,81
SMTN,11,81
SORBS2,11,81
ANKRD2,11,81
MYOM1,11,81
OBSCN,11,81
PDLIM3,11,81
ANKRD23,11,81
KIF18A,12,80
CENPE,12,80
NDC80,12,80
KIF20B,12,80
SMC2,12,80
MKI67,12,80
CEP55,12,80
SGO1,12,80
KIFC1,12,80
TACC3,12,80
FAM83D,12,80
HMMR,12,80
OIP5,12,80
DEPDC1B,12,80
NUF2,12,80
CDCA5,12,80
MELK,12,80
PCLAF,12,80
TPX2,12,80
CDKN3,12,80
CENPF,12,80
ASPM,12,80
ZWINT,12,80
PTTG1,12,80
PBK,12,80
MND1,12,80
TTK,12,80
KNL1,12,80
RAD51AP1,12,80
NCAPG,12,80
NCAPG2,12,80
NUSAP1,12,80
RACGAP1,12,80
ECT2,12,80
ERCC6L,12,80
LCORL,12,80
SPAG5,12,80
GTSE1,12,80
KIF20A,12,80
TRIP13,12,80
NCAPH,12,80
DLGAP5,12,80
SPC25,12,80
ZWILCH,12,80
SKA3,12,80
KIF15,12,80
KNTC1,12,80
SMC4,12,80
NSL1,12,80
NEK2,12,80
PMF1,12,80
KIF2C,12,80
DSN1,12,80
MIS12,12,80
SPC24,12,80
HJURP,12,80
PRC1,12,80
KIF4A,12,80
NCAPD2,12,80
NCAPD3,12,80
KNSTRN,12,80
KIF18B,12,80
CDCA3,12,80
KIF14,12,80
SHCBP1,12,80
CKAP2,12,80
DEPDC1,12,80
TROAP,12,80
CKAP2L,12,80
KIF19,12,80
NCAPH2,12,80
CDCA2,12,80
KIF25,12,80
SKA1,12,80
ARHGAP11A,12,80
SPDL1,12,80
PSMC3IP,12,80
FAM184B,12,80
TEX14,12,80
SLC25A44,12,80
STX5,13,76
NSF,13,76
BET1,13,76
USO1,13,76
NBAS,13,76
GOSR2,13,76
SEC22B,13,76
YKT6,13,76
GOSR1,13,76
SCFD1,13,76
COG3,13,76
COG5,13,76
COG2,13,76
STX18,13,76
BET1L,13,76
VTI1A,13,76
SNAP29,13,76
STX1A,13,76
BNIP1,13,76
VAMP4,13,76
SNAP23,13,76
STX6,13,76
STX17,13,76
VAMP7,13,76
NAPA,13,76
VAMP8,13,76
USE1,13,76
SEC22C,13,76
VPS54,13,76
VPS51,13,76
COG1,13,76
TSNARE1,13,76
STX8,13,76
COG7,13,76
VAMP5,13,76
SEC22A,13,76
COG4,13,76
STX4,13,76
STX19,13,76
NAPG,13,76
STX3,13,76
STX11,13,76
STX7,13,76
STX16,13,76
STX12,13,76
VPS53,13,76
NAPB,13,76
COG8,13,76
